2026-07-08T04:16:51+00:00 [vnseea_call_debug] type=live_create user_id=1 role=host status=200 post_id=4155 stream_name=rn_live_1_1783484210630 room_name=wowonder_live_rn_live_1_1783484210630 ws_url=wss://livekit.hisotechgroup.vn started_at=1783484211
2026-07-10T08:57:17+00:00 [vnseea_call_debug] type=check user_id=5 call_id=1399 call_type=audio status=calling active=0 started_at=0 started_at_ms=0 elapsed=0 elapsed_ms=0
2026-07-10T08:57:18+00:00 [vnseea_call_debug] type=close_voip_push call_id=1399 call_type=audio status=cancelled actor_id=5 recipient_id=1 sent=1
2026-07-10T08:57:18+00:00 [vnseea_call_debug] type=check user_id=5 call_id=1399 call_type=audio status=cancelled active=0 started_at=0 started_at_ms=0 elapsed=0 elapsed_ms=0
2026-07-10T08:57:54+00:00 [vnseea_call_debug] type=check user_id=5 call_id=1400 call_type=audio status=calling active=0 started_at=0 started_at_ms=0 elapsed=0 elapsed_ms=0
2026-07-10T08:57:55+00:00 [vnseea_call_debug] type=check user_id=5 call_id=1400 call_type=audio status=calling active=0 started_at=0 started_at_ms=0 elapsed=0 elapsed_ms=0
2026-07-10T08:57:55+00:00 [vnseea_call_debug] type=check user_id=5 call_id=1400 call_type=audio status=calling active=0 started_at=0 started_at_ms=0 elapsed=0 elapsed_ms=0
2026-07-10T08:57:56+00:00 [vnseea_call_debug] type=check user_id=5 call_id=1400 call_type=audio status=calling active=0 started_at=0 started_at_ms=0 elapsed=0 elapsed_ms=0
2026-07-10T08:57:56+00:00 [vnseea_call_debug] type=check user_id=5 call_id=1400 call_type=audio status=calling active=0 started_at=0 started_at_ms=0 elapsed=0 elapsed_ms=0
2026-07-10T08:57:57+00:00 [vnseea_call_debug] type=check user_id=5 call_id=1400 call_type=audio status=calling active=0 started_at=0 started_at_ms=0 elapsed=0 elapsed_ms=0
2026-07-10T08:57:58+00:00 [vnseea_call_debug] type=check user_id=5 call_id=1400 call_type=audio status=calling active=0 started_at=0 started_at_ms=0 elapsed=0 elapsed_ms=0
2026-07-10T08:57:58+00:00 [vnseea_call_debug] type=check user_id=5 call_id=1400 call_type=audio status=calling active=0 started_at=0 started_at_ms=0 elapsed=0 elapsed_ms=0
2026-07-10T08:57:59+00:00 [vnseea_call_debug] type=check user_id=5 call_id=1400 call_type=audio status=calling active=0 started_at=0 started_at_ms=0 elapsed=0 elapsed_ms=0
2026-07-10T08:57:59+00:00 [vnseea_call_debug] type=check user_id=5 call_id=1400 call_type=audio status=calling active=0 started_at=0 started_at_ms=0 elapsed=0 elapsed_ms=0
2026-07-10T08:58:00+00:00 [vnseea_call_debug] type=check user_id=5 call_id=1400 call_type=audio status=calling active=0 started_at=0 started_at_ms=0 elapsed=0 elapsed_ms=0
2026-07-10T08:58:00+00:00 [vnseea_call_debug] type=check user_id=5 call_id=1400 call_type=audio status=calling active=0 started_at=0 started_at_ms=0 elapsed=0 elapsed_ms=0
2026-07-10T08:58:01+00:00 [vnseea_call_debug] type=check user_id=5 call_id=1400 call_type=audio status=calling active=0 started_at=0 started_at_ms=0 elapsed=0 elapsed_ms=0
2026-07-10T08:58:01+00:00 [vnseea_call_debug] type=check user_id=5 call_id=1400 call_type=audio status=calling active=0 started_at=0 started_at_ms=0 elapsed=0 elapsed_ms=0
2026-07-10T08:58:02+00:00 [vnseea_call_debug] type=check user_id=5 call_id=1400 call_type=audio status=calling active=0 started_at=0 started_at_ms=0 elapsed=0 elapsed_ms=0
2026-07-10T08:58:02+00:00 [vnseea_call_debug] type=check user_id=5 call_id=1400 call_type=audio status=calling active=0 started_at=0 started_at_ms=0 elapsed=0 elapsed_ms=0
2026-07-10T08:58:03+00:00 [vnseea_call_debug] type=check user_id=5 call_id=1400 call_type=audio status=calling active=0 started_at=0 started_at_ms=0 elapsed=0 elapsed_ms=0
2026-07-10T08:58:03+00:00 [vnseea_call_debug] type=check user_id=5 call_id=1400 call_type=audio status=calling active=0 started_at=0 started_at_ms=0 elapsed=0 elapsed_ms=0
2026-07-10T08:58:04+00:00 [vnseea_call_debug] type=check user_id=5 call_id=1400 call_type=audio status=calling active=0 started_at=0 started_at_ms=0 elapsed=0 elapsed_ms=0
2026-07-10T08:58:04+00:00 [vnseea_call_debug] type=check user_id=5 call_id=1400 call_type=audio status=calling active=0 started_at=0 started_at_ms=0 elapsed=0 elapsed_ms=0
2026-07-10T08:58:05+00:00 [vnseea_call_debug] type=check user_id=5 call_id=1400 call_type=audio status=calling active=0 started_at=0 started_at_ms=0 elapsed=0 elapsed_ms=0
2026-07-10T08:58:05+00:00 [vnseea_call_debug] type=check user_id=5 call_id=1400 call_type=audio status=calling active=0 started_at=0 started_at_ms=0 elapsed=0 elapsed_ms=0
2026-07-10T08:58:06+00:00 [vnseea_call_debug] type=check user_id=5 call_id=1400 call_type=audio status=calling active=0 started_at=0 started_at_ms=0 elapsed=0 elapsed_ms=0
2026-07-10T08:58:07+00:00 [vnseea_call_debug] type=check user_id=5 call_id=1400 call_type=audio status=calling active=0 started_at=0 started_at_ms=0 elapsed=0 elapsed_ms=0
2026-07-10T08:58:07+00:00 [vnseea_call_debug] type=check user_id=5 call_id=1400 call_type=audio status=calling active=0 started_at=0 started_at_ms=0 elapsed=0 elapsed_ms=0
2026-07-10T08:58:08+00:00 [vnseea_call_debug] type=close_voip_push call_id=1400 call_type=audio status=cancelled actor_id=5 recipient_id=1 sent=1
2026-07-10T08:58:08+00:00 [vnseea_call_debug] type=check user_id=5 call_id=1400 call_type=audio status=cancelled active=0 started_at=0 started_at_ms=0 elapsed=0 elapsed_ms=0
2026-07-10T08:58:13+00:00 [vnseea_call_debug] type=check user_id=5 call_id=1401 call_type=audio status=calling active=0 started_at=0 started_at_ms=0 elapsed=0 elapsed_ms=0
2026-07-10T08:58:13+00:00 [vnseea_call_debug] type=check user_id=5 call_id=1401 call_type=audio status=calling active=0 started_at=0 started_at_ms=0 elapsed=0 elapsed_ms=0
2026-07-10T08:58:14+00:00 [vnseea_call_debug] type=check user_id=5 call_id=1401 call_type=audio status=calling active=0 started_at=0 started_at_ms=0 elapsed=0 elapsed_ms=0
2026-07-10T08:58:14+00:00 [vnseea_call_debug] type=check user_id=5 call_id=1401 call_type=audio status=calling active=0 started_at=0 started_at_ms=0 elapsed=0 elapsed_ms=0
2026-07-10T08:58:15+00:00 [vnseea_call_debug] type=check user_id=5 call_id=1401 call_type=audio status=calling active=0 started_at=0 started_at_ms=0 elapsed=0 elapsed_ms=0
2026-07-10T08:58:15+00:00 [vnseea_call_debug] type=check user_id=5 call_id=1401 call_type=audio status=calling active=0 started_at=0 started_at_ms=0 elapsed=0 elapsed_ms=0
2026-07-10T08:58:16+00:00 [vnseea_call_debug] type=check user_id=5 call_id=1401 call_type=audio status=calling active=0 started_at=0 started_at_ms=0 elapsed=0 elapsed_ms=0
2026-07-10T08:58:16+00:00 [vnseea_call_debug] type=check user_id=5 call_id=1401 call_type=audio status=calling active=0 started_at=0 started_at_ms=0 elapsed=0 elapsed_ms=0
2026-07-10T08:58:17+00:00 [vnseea_call_debug] type=check user_id=5 call_id=1401 call_type=audio status=calling active=0 started_at=0 started_at_ms=0 elapsed=0 elapsed_ms=0
2026-07-10T08:58:17+00:00 [vnseea_call_debug] type=check user_id=5 call_id=1401 call_type=audio status=calling active=0 started_at=0 started_at_ms=0 elapsed=0 elapsed_ms=0
2026-07-10T08:58:17+00:00 [vnseea_call_debug] type=check user_id=5 call_id=1401 call_type=audio status=calling active=0 started_at=0 started_at_ms=0 elapsed=0 elapsed_ms=0
2026-07-10T08:58:18+00:00 [vnseea_call_debug] type=check user_id=5 call_id=1401 call_type=audio status=calling active=0 started_at=0 started_at_ms=0 elapsed=0 elapsed_ms=0
2026-07-10T08:58:19+00:00 [vnseea_call_debug] type=check user_id=5 call_id=1401 call_type=audio status=calling active=0 started_at=0 started_at_ms=0 elapsed=0 elapsed_ms=0
2026-07-10T08:58:19+00:00 [vnseea_call_debug] type=check user_id=5 call_id=1401 call_type=audio status=calling active=0 started_at=0 started_at_ms=0 elapsed=0 elapsed_ms=0
2026-07-10T08:58:19+00:00 [vnseea_call_debug] type=check user_id=5 call_id=1401 call_type=audio status=calling active=0 started_at=0 started_at_ms=0 elapsed=0 elapsed_ms=0
2026-07-10T08:58:20+00:00 [vnseea_call_debug] type=close_voip_push call_id=1401 call_type=audio status=cancelled actor_id=5 recipient_id=1 sent=1
2026-07-10T08:58:28+00:00 [vnseea_call_debug] type=check user_id=5 call_id=1402 call_type=audio status=calling active=0 started_at=0 started_at_ms=0 elapsed=0 elapsed_ms=0
2026-07-10T08:58:28+00:00 [vnseea_call_debug] type=check user_id=5 call_id=1402 call_type=audio status=calling active=0 started_at=0 started_at_ms=0 elapsed=0 elapsed_ms=0
2026-07-10T08:58:29+00:00 [vnseea_call_debug] type=check user_id=5 call_id=1402 call_type=audio status=calling active=0 started_at=0 started_at_ms=0 elapsed=0 elapsed_ms=0
2026-07-10T08:58:29+00:00 [vnseea_call_debug] type=check user_id=5 call_id=1402 call_type=audio status=calling active=0 started_at=0 started_at_ms=0 elapsed=0 elapsed_ms=0
2026-07-10T08:58:30+00:00 [vnseea_call_debug] type=check user_id=5 call_id=1402 call_type=audio status=calling active=0 started_at=0 started_at_ms=0 elapsed=0 elapsed_ms=0
2026-07-10T08:58:31+00:00 [vnseea_call_debug] type=check user_id=5 call_id=1402 call_type=audio status=calling active=0 started_at=0 started_at_ms=0 elapsed=0 elapsed_ms=0
2026-07-10T08:58:31+00:00 [vnseea_call_debug] type=check user_id=5 call_id=1402 call_type=audio status=calling active=0 started_at=0 started_at_ms=0 elapsed=0 elapsed_ms=0
2026-07-10T08:58:32+00:00 [vnseea_call_debug] type=check user_id=5 call_id=1402 call_type=audio status=calling active=0 started_at=0 started_at_ms=0 elapsed=0 elapsed_ms=0
